114069.898438	130851.140625	165111.093750	167887.812500	108794.078125	131830.062500	132793.062500	104747.343750	0.000000
114067.664062	130846.757812	165109.296875	167891.203125	108793.906250	131830.062500	132794.046875	104747.523438	0.000000
114068.828125	130846.312500	165111.000000	167894.687500	108795.867188	131830.953125	132796.640625	104750.203125	0.000000
114067.484375	130844.437500	165110.828125	167896.031250	108795.687500	131828.718750	132796.812500	104752.531250	0.000000
114063.101562	130840.054688	165108.671875	167895.406250	108793.187500	131824.156250	132792.531250	104751.101562	0.000000
114062.390625	130838.000000	165107.421875	167893.703125	108791.757812	131823.625000	132791.546875	104750.468750	0.000000
114065.156250	130840.500000	165109.218750	167892.546875	108791.843750	131826.921875	132794.312500	104751.101562	0.000000
114067.125000	130844.257812	165110.906250	167889.140625	108793.453125	131830.062500	132797.000000	104751.812500	0.000000
114070.164062	130849.171875	165113.328125	167883.421875	108794.796875	131831.750000	132798.781250	104751.812500	0.000000
114071.328125	130851.679688	165113.421875	167877.250000	108794.257812	131832.656250	132796.734375	104748.414062	0.000000
114069.273438	130850.250000	165110.375000	167872.250000	108791.312500	131831.125000	132792.078125	104744.570312	0.000000
114066.320312	130846.492188	165107.687500	167870.187500	108787.195312	131827.468750	132787.875000	104741.085938	0.000000
114067.039062	130849.171875	165110.640625	167876.718750	108789.343750	131829.343750	132790.203125	104743.945312	0.000000
114067.929688	130851.234375	165114.484375	167885.125000	108793.906250	131833.015625	132793.328125	104748.148438	0.000000
114065.695312	130847.210938	165113.593750	167890.125000	108795.867188	131831.578125	132793.156250	104749.664062	0.000000
114065.250000	130844.796875	165114.578125	167894.875000	108798.640625	131832.468750	132795.390625	104752.617188	0.000000
114069.093750	130847.382812	165117.625000	167900.859375	108802.039062	131836.406250	132800.750000	104757.359375	0.000000
114072.132812	130852.570312	165119.859375	167902.562500	108802.843750	131839.265625	132803.437500	104758.335938	0.000000
114071.953125	130856.593750	165120.750000	167898.796875	108802.398438	131842.046875	132804.421875	104756.820312	0.000000
114069.093750	130855.789062	165118.875000	167893.265625	108800.609375	131839.625000	132801.109375	104753.156250	0.000000
